date,sample_de,pfba,pf_pe_a,pf_hx_a,pf_hp_a,pfoa,pfna,pfda,pf_un_da,pf_do_da,pf_tr_da,pf_te_da,pfbs,pf_pe_s,pf_hx_s,pf_hp_s,pfos,pfns,pfds,x4_2_fts,x6_2_fts,x8_2_fts,pfosa,n_me_fosaa,n_et_fosaa,hfpo_da2_gen_x_frd_903,adona,x9cl_pf3ons,x11cl_pf3o_ud_s,n_me_fosa,n_et_fosa,n_me_fose,n_et_fose
2022-10-17T11:50:00Z,Traun,1e-4,1e-4,1e-4,0.87,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.34,1e-4,0.17,1e-4,0.55,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,0.31,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-18T00:00:00Z,Donau Budapest Nord,4.187430411,3.322602814,1.593084096,0.678971605,1.840589159,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,2.083210047,1e-4,0.321452016,1e-4,1.03,1e-4,2.316951272,1e-4,0.35,1e-4,1e-4,1e-4,1e-4,0.75,7.68,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-18T00:00:00Z,Donau Budapest Süd,4.268886038,3.211775015,1.761900109,0.672987561,1.836068003,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.014376664,1e-4,0.33229525,1e-4,1.08,1e-4,1.151001302,1e-4,0.45,1e-4,1e-4,1e-4,1e-4,0.66,7.68,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-10-20T00:00:00Z,Ipoly,6.467673,1e-4,1.432003598,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.610239032,1e-4,0.32447488,1e-4,1.82,1e-4,1.473260655,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-11-16T00:00:00Z,Donau Budapest Nord,2.91,2.83,2.55,0.79,2.27,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.51,1e-4,0.46,1e-4,1.9,1e-4,1e-4,1e-4,0.96,1e-4,1e-4,1e-4,1e-4,0.88,19.72,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-11-16T00:00:00Z,Donau Budapest Süd,3.37,2.96,2.79,0.95,2.4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.45,1e-4,0.48,1e-4,3.46,1e-4,1e-4,1e-4,0.97,1e-4,1e-4,1e-4,1e-4,0.95,16.4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-11-17T00:00:00Z,Ipoly,4.47,1.02,2.13,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.66,1e-4,0.21,1e-4,1.4,1e-4,1e-4,1e-4,0.31,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-12-12T10:05:00Z,Morava,5.53,6.67,12.09,3.97,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,2.39,1e-4,1.44,1e-4,8.76,1e-4,1e-4,1e-4,9.36,1e-4,1e-4,1e-4,1.4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-12-12T11:22:00Z,Svratka,6.58,4.12,10.22,1.77,1.1,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1.48,1e-4,0.28,1e-4,4.46,1e-4,1e-4,1e-4,2.25,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
2022-12-12T12:33:00Z,Thaya,11.96,2.96,4.59,2.24,1.26,0.48,1e-4,1e-4,1e-4,1e-4,1e-4,1.39,1e-4,0.18,1e-4,1.44,1e-4,1e-4,1e-4,0.35,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
